,GDP,GDP Defl,Interest rates,Investment,Stock,Spread 1,Spread 2,Credit/Real Estate Ratio,US HOME MORTGAGES - FIXED 30YR - EFFECTIVE INTEREST RATE,CPI index,PCE index,employment,industrial production,1-year Treasury constant maturity rate,DJIA
DATE,ROUTPUT13Q3,P,TB3MS,GPDIC96,Real SP500,Baa-FedFud,Baa-10y,Credit/Real Estate Ratio,Mortgages rates,,,,IP,,
2010:Q2,9.652285261,4.563431104,0.12,7.694714245,1.551228239,6.05,3.26,0.129015895,4.69,5.381,4.559,11.843,4.548,0.32,2.033
2010:Q3,9.65963096,4.566959363,0.15,7.738345193,1.533737962,5.47,3.13,0.132937663,4.32,5.386,4.562,11.845,4.558,0.27,2.022
2010:Q4,9.664633739,4.572450694,0.14,7.735154467,1.547535248,5.92,2.8,0.142161078,4.86,5.396,4.569,11.844,4.565,0.29,2.034
2011:Q1,9.662230946,4.577552299,0.10,7.716122658,1.564020408,5.89,2.56,0.158534818,4.86,5.407,4.579,11.847,4.569,0.30,2.048
2011:Q2,9.669352566,4.584712344,0.04,7.756219744,1.574338875,5.66,2.57,0.164212017,4.51,5.415,4.586,11.845,4.571,0.19,2.055
2011:Q3,9.669074488,4.590249423,0.01,7.75952285,1.560735097,5.19,3.35,0.169265852,4.01,5.423,4.592,11.851,4.581,0.13,2.045
2011:Q4,9.680600218,4.591841756,0.01,7.833770178,1.553523778,5.18,3.36,0.172604219,3.95,5.426,4.595,11.856,4.593,0.12,2.036
2012:Q1,9.688398973,4.59798443,0.08,7.854442132,1.561471234,5.1,3,0.186364223,3.99,5.433,4.603,11.864,4.597,0.19,2.051
2012:Q2,9.692692444,4.60205534,0.09,7.877205663,1.573804096,4.86,3.35,0.179307407,3.66,5.432,4.602,11.866,4.606,0.21,2.057
2012:Q3,9.694043483,4.608155725,0.11,7.88173324,1.568815451,4.7,3.19,0.171189754,3.40,5.442,4.609,11.871,4.604,0.17,2.053
2012:Q4,9.695177193,4.612423815,0.07,7.872799984,1.572465154,4.47,2.85,0.166754495,3.35,5.443,4.611,11.873,4.615,0.16,2.057
2013:Q1,9.703999491,4.616337598,0.09,7.909407962,1.583930862,4.71,2.98,0.150129449,3.57,5.448,4.615,11.873,4.623,0.14,2.061
2013:Q2,9.705231717,4.619378764,0.05,7.920532589,1.596803246,5.1,2.67,0.127042573,4.46,5.449,4.617,11.878,4.625,0.15,2.078
2013:Q3,9.713035029,4.624825744,0.02,7.958489837,1.607009856,5.39,2.83,0.104160668,4.32,5.453,4.621,11.880,4.632,0.10,2.082
2013:Q4,9.720981979,4.630360236,0.07,7.962111559,1.613768648,5.29,2.34,0.100241633,4.48,5.458,4.626,11.883,4.636,0.13,2.083
2014:Q1,9.718151457,4.634340563,0.05,7.95095598,1.615304923,4.98,2.33,0.096091896,4.40,5.464,4.630,11.889,4.650,0.13,2.090
2014:Q2,9.731601357,4.639948353,0.04,7.992291632,1.625311074,4.7,2.27,0.088538551,4.14,5.469,4.634,11.893,4.658,0.11,2.091
2014:Q3,9.74373538,4.644487048,0.02,8.012542464,1.628849768,4.71,2.28,0.072334232,4.20,5.470,4.636,11.897,4.662,0.13,2.095
