4.2869,1.4985,2.61,-15.096,-46.727,8.3773,6.3021,4.8904,3.8573,5.5,7.293,-2.381,1.4089,1.766,2.7379,0,3.87,-0.30819,-3.1683,3.6554,52.7,54.5,2.249,-12.034
3.7925,1.1499,2.85,95.364,-28.615,6.1698,4.0056,3.2208,4.2438,5.6,7.2654,2.381,1.0256,-1.766,-0.27294,0,3.99,-1.0971,6.7398,1.6506,50.2,53,5.8314,-7.41
1.5484,0.96232,2.92,160.84,10.913,7.97,5.2233,5.6281,3.361,5.5,7.3607,0,1.2006,7.0177,2.1784,0,3.9,-0.22833,-11.876,1.3441,54.1,57,3.9409,2.4281
4.4271,1.2751,2.97,13.29,38.888,8.794,4.4944,2.7075,7.3282,5.8,7.2521,-2.381,1.1306,1.7354,4.0527,0,3.89,0.10966,20.509,1.2898,55,59.6,1.7957,9.4393
5.1808,0.73431,2.96,107.15,24.566,8.6048,3.9531,3.7982,10.411,5.7,7.4018,0,0.57516,3.4483,3.7458,0,3.96,-0.39516,6.3137,2.8004,58.5,63.1,3.0518,5.9976
7.7328,2.4423,3.33,181.7,7.0567,8.1109,5.8573,5.4234,2.6603,5.5,7.4218,0,1.8966,0,3.9749,0,4.03,-0.1143,12.131,2.1771,55.8,60.6,8.7283,1.29
2.8445,1.0793,3.45,23.427,13.26,7.6429,7.5202,3.32,6.7048,5.6,7.3969,0,1.4714,6.8087,3.9357,0,4.12,-0.28617,4.8278,2.6124,56.4,62.1,0.76171,2.9471
8.5592,1.6458,3.46,-71.972,22.648,6.5949,7.537,7.806,5.4399,5.5,7.4067,0,1.9243,1.6842,2.6025,0,4.18,0.057479,14.696,2.8658,58.4,61.6,5.1331,5.1809
4.7283,0.6461,3.49,-50.352,13.786,6.7849,7.2449,6.9731,9.2801,5.2,7.3052,-1.1958,0.91518,3.3473,2.5857,0,4.2,-0.033743,-1.4436,2.5218,59.3,62.7,1.1517,3.2176
5.3955,0.90279,3.46,89.907,12.699,9.0001,7.266,7.2958,6.3579,5,7.3324,2.3881,1.3472,1.6632,6.6455,-6.7913,4.19,-1.5708,9.2281,3.893,63.2,67.1,3.655,2.8381
1.4165,1.838,3.58,25.166,8.7832,8.0443,6.5465,1.1121,6.0147,5,7.3119,0,1.3426,1.6563,5.0378,0,4.17,-0.038089,3.7817,3.3891,61.6,61.3,-1.7603,1.8601
9.7468,1.2419,3.97,50.352,8.6869,7.9787,8.0353,8.8215,14.83,4.9,7.2485,1.1887,1.2951,8.1802,2.9925,0,4.2,0.95091,36.428,4.3788,62.7,64.7,6.9849,1.8479
5.4317,2.5486,4.08,119.08,3.5875,6.5447,6.8831,4.407,9.1691,4.7,7.2917,4.7198,1.9991,1.6162,2.4768,0,4.21,0.32459,1.0492,4.5563,60.7,59.1,0.41256,0.39709
8.0425,1.1796,4.07,32.201,-2.0197,7.7866,10.108,6.8311,8.2895,4.4,7.3005,2.3392,1.4768,1.6097,4.4199,0,4.25,-0.33882,13.69,4.9102,59.1,58.7,9.3029,-0.87413
9.3232,2.1095,4.17,-70.725,21.632,8.6044,9.1139,11.094,8.0116,4.1,7.3284,4.6377,1.2158,6.3746,7.2597,0,4.47,1.4488,2.64,5.0959,60.3,62.3,6.1169,5.104
9.759,3.7243,4.56,27.187,-1.0477,7.6491,8.5131,5.8438,11.297,3.9,7.2306,5.7226,3.0975,4.7152,6.8947,0,4.77,-0.34754,30.746,5.2992,65.7,65.6,7.215,-1.0363
1.6351,3.6034,4.91,131.76,-15.372,4.7925,6.5128,1.0111,8.2667,3.8,7.1468,0,3.2834,3.1129,4.4536,0,4.78,-1.2444,-5.9653,5.7699,60.3,57.6,-2.1391,-4.6638
2.8419,3.4486,5.41,39.893,-31.752,2.3749,8.5858,4.5267,6.142,3.8,6.9884,3.3946,3.0487,3.0888,-1.4011,2.322,5.14,-0.41122,-2.9625,4.5666,59.2,54.9,0.72409,-8.7002
3.4164,3.2489,5.56,-72.501,-7.6458,3.955,8.5305,1.6449,3.8043,3.7,6.8363,1.1252,3.1082,7.6193,1.1679,4.4693,5,0.28192,2.338,3.3357,54.4,49.1,3.4168,-2.6885
3.6607,1.0205,4.82,-260.93,35.013,6.4785,6.6958,2.3292,-2.2104,3.8,6.9866,-3.3851,1.1542,3.0075,3.9455,2.6846,4.58,0.41336,-9.9393,2.6426,47.3,45.5,3.7241,8.4648
0.3469,2.4193,3.99,-419.05,20.499,9.4448,4.3416,5.424,-1.6332,3.8,7.1017,2.2599,1.9095,2.9851,5.5047,1.3356,4.82,0.27709,-14.74,0.95829,44.7,48.6,3.4994,4.6474
3.4356,3.996,3.89,-72.929,11.864,10.718,8.3656,2.0229,2.7416,3.8,7.2421,2.2472,3.6701,2.963,8.7866,6.2181,5.25,-1.4772,11.56,2.7461,52.2,57,0.46618,2.0485
3.2065,4.3583,4.17,215.95,0.59253,8.3724,6.7913,2.4263,10.562,3.9,7.2766,2.2346,3.4155,7.3128,6.4107,3.008,5.64,-24.937,8.5365,3.2863,54.6,57.4,1.1868,-0.70573
8.0398,3.9138,4.79,384.28,-12.326,6.7702,11.259,9.3962,5.6705,3.7,7.2828,2.2222,4.2038,10.018,5.2288,0,5.61,-33.638,7.9406,2.9675,55.1,57.5,8.5817,-4.1324
6.6996,3.8759,5.98,202.64,26.085,6.5833,11.227,6.0701,5.3565,3.6,7.2834,3.3104,4.0418,5.6141,6.8671,0,5.74,-2.3569,15.014,3.5547,55.6,58.3,4.1631,5.5108
2.8665,5.3731,5.94,-113.75,8.05,7.6431,10.058,7.4278,3.0918,3.5,7.3271,3.2832,4.1185,2.7778,7.7959,0,5.46,-0.39737,-11.06,3.5819,52.9,54.6,0.36715,0.98288
1.7737,4.9182,5.92,33.172,20.796,9.2107,8.3865,1.8176,6.029,3.4,7.3664,3.2565,4.424,9.5731,8.4648,0,5.77,-0.49123,4.3277,3.9098,56.7,58.8,-0.5141,4.0929
6.1671,4.8696,6.57,141.84,-16.573,6.7715,7.6442,4.4512,7.7064,3.4,7.4254,2.1563,3.9173,5.3692,7.087,7.7422,6.18,0.39172,22.887,4.0212,56.3,57.2,1.1192,-5.1225
1.2803,6.2629,8.33,167.97,2.9217,3.4819,9.7847,2.5397,1.7416,3.4,7.3428,6.4001,5.0886,5.2981,3.1984,27.171,6.35,0.13387,-2.3641,3.7936,55.8,54.9,-0.32075,-0.54171
2.4953,5.4522,8.98,-23.314,-29.419,2.5572,10.784,1.947,4.7729,3.6,7.2521,3.1621,4.8756,6.5254,1.7879,0,6.86,-0.52632,8.0398,3.0532,54,50.6,1.0895,-8.5737
-1.7449,6.0942,8.94,-8.8893,-1.1024,3.43,7.4668,3.1822,-2.5155,3.6,7.1793,6.2501,4.6143,7.6925,3.3556,0,7.3,1.3442,-19.796,1.4926,53.3,50.2,-0.90619,-1.4292
-0.69218,6.3493,8.57,-66.822,-23.836,1.4319,6.95,2.4639,-9.8095,4.2,7.1196,3.0888,4.5981,3.7915,4.1066,0,7.37,1.5061,-12.112,0.90973,47.7,45.6,1.6461,-7.1085
0.70823,5.557,7.88,-34.545,-45.382,2.7133,8.3699,1.8414,-2.2073,4.8,7.1801,0,4.4197,5.0001,3.1008,0,7.71,-0.18865,0.86798,-0.80855,47.8,48.1,4.7898,-12.45
3.5218,4.1202,6.7,14.865,-2.7861,8.9576,6.6453,3.4934,-1.4346,5.2,7.3018,1.0243,3.8722,4.9383,5.1787,-4.8049,7.46,-2.4438,6.4578,-1.0637,47,49.5,6.7775,-1.6646
-4.1362,5.7687,5.57,-335.36,36.925,10.568,4.0526,-1.0832,-8.7422,5.8,7.4425,3.0573,5.1582,3.6641,7.1768,9.9065,6.85,0.26235,-21.822,-2.2889,42.5,46.4,-2.3118,7.9418
10.571,3.3496,3.86,-70.356,46.216,12.673,9.0042,7.5758,7.6386,5.9,7.5099,3.0341,3.7687,11.977,6.4982,19.218,6.02,4.1081,44.11,1.5331,51.3,58.1,11.246,10.612
2.2705,3.6594,4.56,-34.589,18.439,15.117,10.233,3.6613,3.6073,5.9,7.6109,4.0101,4.5279,4.6921,8.383,0,6.25,0.72287,11.192,1.887,54.2,58.2,0.34666,3.4778
3.1076,3.9506,5.47,330.91,-11.643,11.777,6.0422,3.178,1.2312,6,7.6468,1.9901,3.9139,3.4833,6.9722,0,6.48,3.6823,4.8238,1.4304,54.4,59.1,4.6079,-3.8891
1.1644,2.9376,4.75,-358.97,-8.4931,10.646,7.6666,6.5941,9.1662,5.9,7.6971,2.9666,2.4863,6.877,3.7045,0,5.89,10.087,-10.919,2.4062,55,60.1,-3.0603,-2.7448
7.0651,3.2357,3.54,-693.84,35.643,11.861,11.231,5.2419,16.63,5.8,7.7857,1.9656,4.205,10.099,7.6524,0,6.03,14.787,25.525,4.5163,60,65.1,3.8644,7.8596
9.1565,2.5756,4.3,303.81,10.039,9.9093,7.0371,7.5659,7.5821,5.7,7.7147,2.9304,2.3116,6.5936,6.4931,0,6.14,-0.030801,22.099,4.2808,59.8,64,9.6844,1.9318
3.6692,3.1892,4.74,508.89,4.2683,13.223,10.115,6.1229,4.9728,5.6,7.7715,6.7553,3.5087,4.3361,8.3861,0,6.29,-24.112,5.6398,3.1078,62.3,66.4,0.99977,0.18989
6.588,4.1187,5.14,256.15,16.28,13.103,17.676,9.2853,13.803,5.4,7.7932,3.8096,3.2648,10.639,9.6746,0,6.37,-13.57,2.5007,5.0146,69.1,71.9,4.2378,3.2539
9.7285,6.239,6.54,290.58,4.0556,9.356,6.4916,7.2308,11.322,4.9,7.774,13.971,4.7991,7.2824,7.8607,0,6.6,9.1841,22.78,5.3213,70.4,70.5,7.3179,-0.18586
4.5098,8.2794,7.82,66.499,-27.426,6.5375,10.579,-0.16696,3.1809,4.9,7.6681,15.266,7.6181,5.1217,4.7375,0,6.81,18.033,16.697,3.6112,65.8,63.5,1.1947,-8.7609
-2.1797,7.817,10.56,39.695,-8.852,5.5743,9.6458,1.4288,3.4265,4.8,7.6089,13.854,7.21,6.0607,4.5269,52.569,7.21,-8.4679,-14.774,2.367,61.3,56.1,-5.7067,-4.0155
3.7136,9.9903,10,-143.82,-9.4421,5.121,13.071,-1.1784,5.8773,4.8,7.4037,7.5872,8.1255,8.9223,5.0897,23.902,6.75,-16.365,14,3.784,66,63.2,1.5015,-4.3919
-3.3367,11.731,9.32,-63.537,-27.522,7.3294,5.4168,-3.4961,-3.6762,5.1,7.369,21.143,11.701,4.8722,6.5363,341.03,7.05,-16.841,-23.521,1.8812,60.8,56.6,-5.6187,-9.8057
1.0498,10.574,11.25,289.56,-21.938,4.7822,8.5431,1.3925,0.38889,5.2,7.3232,10.167,11.18,9.5698,3.7517,0,7.54,20.13,-1.5996,1.4905,56.8,53.3,1.4759,-8.2796
-3.892,11.095,12.09,120.84,-71.044,4.2737,11.599,1.6503,-1.6985,5.6,7.0926,16.638,10.651,13.024,3.4207,0,7.96,-7.908,-21.288,0.57022,51.3,48,-3.4882,-20.424
-1.6033,12.103,9.35,-384.58,-35.875,6.059,9.1786,-5.9152,-16.153,6.6,6.9315,16.684,10.059,12.614,4.8575,39.524,7.67,-3.6526,2.4206,-2.2448,37.2,32.5,3.093,-11.483
-4.8619,8.4591,6.3,-704.86,49.858,7.5453,6.0953,3.341,-27.208,8.3,6.8835,2.1258,7.486,7.0331,2.4795,0,7.54,10.648,-70.255,-6.3274,32.2,36.6,5.5143,10.593
3.07,4.7879,5.42,-192.82,49.757,14.424,9.4921,6.6231,-5.4199,8.9,6.9763,4.9167,4.8918,4.3337,6.0607,0,8.05,-11.57,-12.089,-2.1891,41.3,48.2,6.7197,11.216
